return,params,run_time
-0.010864933181689448,"{'bagging_temperature': 0.4883936887362998, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 1750.0, 'l2_leaf_reg': 60.53019111801518, 'learning_rate': 0.03, 'loss_function': 'Logloss', 'random_strength': 0.648531443966122, 'rsm': 0.4, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200, 'verbose': False}",48.03943318896927
-0.010864933181689448,"{'bagging_temperature': 0.4883936887362998, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 1750.0, 'l2_leaf_reg': 60.53019111801518, 'learning_rate': 0.03, 'loss_function': 'Logloss', 'random_strength': 0.648531443966122, 'rsm': 0.4, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200, 'verbose': False}",48.5362108029658
-0.010864933181689448,"{'bagging_temperature': 0.4883936887362998, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 1750.0, 'l2_leaf_reg': 60.53019111801518, 'learning_rate': 0.03, 'loss_function': 'Logloss', 'random_strength': 0.648531443966122, 'rsm': 0.4, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200, 'verbose': False}",48.179057403001934
-0.010864933181689448,"{'bagging_temperature': 0.4883936887362998, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 1750.0, 'l2_leaf_reg': 60.53019111801518, 'learning_rate': 0.03, 'loss_function': 'Logloss', 'random_strength': 0.648531443966122, 'rsm': 0.4, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200, 'verbose': False}",48.62226537906099
-0.010864933181689448,"{'bagging_temperature': 0.4883936887362998, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 1750.0, 'l2_leaf_reg': 60.53019111801518, 'learning_rate': 0.03, 'loss_function': 'Logloss', 'random_strength': 0.648531443966122, 'rsm': 0.4, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200, 'verbose': False}",48.72442660795059
-0.0049471384096116695,"{'bagging_temperature': 0.18770101041321224, 'depth': 4.0, 'eval_metric': 'Accuracy', 'iterations': 1850.0, 'l2_leaf_reg': 48.08143505432361, 'learning_rate': 0.011198353871774671, 'loss_function': 'Logloss', 'random_strength': 0.16650545286189872, 'rsm': 0.6000000000000001, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200}",59.57805670192465
-0.0351375218171033,"{'bagging_temperature': 1.204611712456688, 'depth': 3.0, 'eval_metric': 'Accuracy', 'iterations': 750.0, 'l2_leaf_reg': 64.93441195424973, 'learning_rate': 0.018456648604961715, 'loss_function': 'Logloss', 'random_strength': 8.6505550727691, 'rsm': 0.05, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200}",13.24995116807986
-0.024957926785404993,"{'bagging_temperature': 6.098873226372386, 'depth': 5.0, 'eval_metric': 'Logloss', 'iterations': 1200.0, 'l2_leaf_reg': 10.27715776575203, 'learning_rate': 0.013825528472365251, 'loss_function': 'Logloss', 'random_strength': 0.7410774539895649, 'rsm': 0.35000000000000003, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200}",41.26109321101103
-0.02163785113317329,"{'bagging_temperature': 4.649524337895926, 'depth': 3.0, 'eval_metric': 'Logloss', 'iterations': 1500.0, 'l2_leaf_reg': 6.968407717075399, 'learning_rate': 0.01781627000999016, 'loss_function': 'Logloss', 'random_strength': 3.58583198078284, 'rsm': 0.8500000000000001, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200}",46.24450028897263
-0.014923932719333127,"{'bagging_temperature': 1.5930561401414127, 'depth': 7.0, 'eval_metric': 'Logloss', 'iterations': 600.0, 'l2_leaf_reg': 96.31066035877811, 'learning_rate': 0.02260618214715322, 'loss_function': 'Logloss', 'random_strength': 1.7847475742785293, 'rsm': 0.8, 'use_best_model': True, 'nan_mode': 'Forbidden', 'early_stopping_rounds': 200}",31.286192130995914
